dealership,city,state,base_website,successful_url,success,form_detected,fields_filled_count,urls_tried,total_urls,timestamp,error
Anchorage Chrysler Center Inc,Anchorage,AK,https://www.anchoragechryslercenter.com,,False,False,0,13,13,2025-09-13T00:27:30.056772,No working contact forms found in 13 URLs
Lithia Chrysler Dodge Jeep Ram FIAT of Anchorage,Anchorage,AK,https://www.lithiachrysleranchorage.com,,False,False,0,13,13,2025-09-13T00:27:42.767246,No working contact forms found in 13 URLs
Gene's Chrysler Center,Fairbanks,AK,https://www.geneschrysler.com,,False,False,0,13,13,2025-09-13T00:27:53.073126,No working contact forms found in 13 URLs
Kendall Dodge Chrysler Jeep Ram,Soldotna,AK,https://www.kendalldcjrofsoldotna.com,,False,False,0,13,13,2025-09-13T00:28:01.944819,No working contact forms found in 13 URLs
Lithia Chrysler Jeep Dodge Ram of Wasilla,Wasilla,AK,https://www.wasilladodge.com,,False,False,0,13,13,2025-09-13T00:28:09.435531,No working contact forms found in 13 URLs
Chrysler Dodge Jeep Ram of Albertville,Albertville,AL,https://www.cdjrofalbertville.com,,False,False,0,13,13,2025-09-13T00:28:21.059283,No working contact forms found in 13 URLs
Bice Chrysler Dodge Jeep Ram,Alexander City,AL,https://www.bicemotors.com,,False,False,0,13,13,2025-09-13T00:28:26.732736,No working contact forms found in 13 URLs
David Scott Lee Chrysler Dodge Jeep Ram,Andalusia,AL,https://www.andalusiachryslerdodgejeepram.com,,False,False,0,13,13,2025-09-13T00:28:47.925210,No working contact forms found in 13 URLs
Greenway Chrysler Dodge Jeep Ram FIAT of Anniston,Anniston,AL,https://www.greenwaycdjrofanniston.com,https://www.greenwaycdjrofanniston.com/contact-us/,True,True,6,4,13,2025-09-13T00:28:53.869737,
North Country Chrysler Jeep Dodge Ram,Arab,AL,https://www.northcountrycjdr.cars,,False,False,0,13,13,2025-09-13T00:29:34.399035,No working contact forms found in 13 URLs
"Champion of Athens, Inc.",Athens,AL,https://www.championchryslerdodge.net,,False,False,0,13,13,2025-09-13T00:29:40.256328,No working contact forms found in 13 URLs
Brady Chrysler Dodge Jeep Ram,Bessemer,AL,https://www.bradycdjr.com,,False,False,0,13,13,2025-09-13T00:29:50.254974,No working contact forms found in 13 URLs
Hallmark Chrysler Dodge Jeep Ram,Birmingham,AL,https://www.hallmarkcdjrbirmingham.com/,,False,False,0,13,13,2025-09-13T00:29:57.261625,No working contact forms found in 13 URLs
Voyles Chrysler Dodge Jeep Ram of Birmingham,Birmingham,AL,https://www.voylescdjr.com,,False,False,0,13,13,2025-09-13T00:30:08.208767,No working contact forms found in 13 URLs
Jim Peach Motors Inc,Brewton,AL,https://www.peachchrysler-brewton.com,,False,False,0,13,13,2025-09-13T00:30:14.056053,No working contact forms found in 13 URLs
